Observation,Filename,With Keys,Execution Time
1,drop_tables.sql,False,0.16199994087219238
1,drop_tables.sql,False,0.05698847770690918
1,create_ext_tables.sql,False,0.026000261306762695
1,load.sql,False,566.0488600730896
1,Q1.sql,False,120.79932117462158
1,Q2.sql,False,3.3931870460510254
1,Q3.sql,False,91.75691151618958
1,Q4.sql,False,46.735307931900024
1,Q5.sql,False,304.4093813896179
1,Q6.sql,False,27.261096715927124
1,Q7.sql,False,130.9829249382019
1,Q8.sql,False,45.36400008201599
1,Q9.sql,False,50.73758602142334
1,Q10.sql,False,51.212024211883545
1,Q11.sql,False,3.0190300941467285
1,Q12.sql,False,65.00193405151367
1,Q13.sql,False,27.746727466583252
1,Q14.sql,False,93.31615972518921
1,Q15.1.sql,False,0.007997989654541016
1,Q15.2.sql,False,94.33384656906128
1,Q15.3.sql,False,0.009029388427734375
1,Q16.sql,False,5.196907997131348
1,Q17.sql,False,16.885993003845215
1,Q18.sql,False,101.58389520645142
1,Q19.sql,False,30.611435651779175
1,Q20.sql,False,150.25317931175232
1,Q21.sql,False,60.02426290512085
1,Q22.sql,False,5.050574541091919
1,create_keys.sql,True,593.4392712116241
1,Q1.sql,True,119.78185820579529
1,Q2.sql,True,3.3111746311187744
1,Q3.sql,True,91.6019778251648
1,Q4.sql,True,46.726773500442505
1,Q5.sql,True,311.91060304641724
1,Q6.sql,True,27.439085006713867
1,Q7.sql,True,132.2914113998413
1,Q8.sql,True,46.413851261138916
1,Q9.sql,True,53.04816174507141
1,Q10.sql,True,50.55455136299133
1,Q11.sql,True,3.008298635482788
1,Q12.sql,True,64.82542133331299
1,Q13.sql,True,27.814871072769165
1,Q14.sql,True,93.19757461547852
1,Q15.1.sql,True,0.005979299545288086
1,Q15.2.sql,True,94.08778810501099
1,Q15.3.sql,True,0.009973526000976562
1,Q16.sql,True,4.600841522216797
1,Q17.sql,True,16.79177188873291
1,Q18.sql,True,101.31011128425598
1,Q19.sql,True,30.773690462112427
1,Q20.sql,True,178.82344436645508
1,Q21.sql,True,63.914814710617065
1,Q22.sql,True,5.034831762313843
